Date,VOO,SPY,QQQ
2020-11-30,1.0,1.0,1.0
2020-12-01,1.0110031558268715,1.010937200223574,1.0128159986071072
2020-12-02,1.0131374690343495,1.013064081474633,1.0141179499904909
2020-12-03,1.0128372618499437,1.0127877785880817,1.0155529528662723
2020-12-04,1.0215552113776356,1.0215155502649744,1.0196914108488315
2020-12-07,1.0196610047052201,1.019416425881118,1.0254654465694293
2020-12-08,1.022607219459742,1.0223994301795447,1.028936546829662
2020-12-09,1.0135286660359886,1.013229718545367,1.0056403541500984
2020-12-10,1.0130475647789277,1.0128984444038995,1.0096788397405798
2020-12-11,1.011754858037135,1.0117107759753197,1.007442692558956
2020-12-14,1.0071253316638054,1.0071808009998986,1.0147520185864636
2020-12-15,1.0210443065144963,1.0207975786608825,1.0255987080878608
2020-12-16,1.022607219459742,1.0223994301795447,1.0312392722639931
2020-12-17,1.0281688486788025,1.0281169831702974,1.0379813179742692
2020-12-18,1.0240505232309245,1.024011679221752,1.034843949081708
2020-12-21,1.020893808172544,1.0203499426689595,1.0329081391283852
2020-12-22,1.0188803870758147,1.018630553927615,1.0357166072520514
2020-12-23,1.0196953479334165,1.0195458976525649,1.0305005056901824
2020-12-24,1.0237703495962998,1.023512326851849,1.0350480943865392
2020-12-28,1.0326750157554498,1.032305286480706,1.0454800874842436
2020-12-29,1.030501918385095,1.0303355434550485,1.0464161735167876
2020-12-30,1.0318903519411131,1.0318056628710586,1.0464494626431413
2020-12-31,1.0374446782898101,1.0370481846556787,1.0490241717912139
2021-01-04,1.0233779683454125,1.0229297942935864,1.0342121907721067
2021-01-05,1.0301094384467704,1.0299753370741518,1.0427383026263015
2021-01-06,1.0363576361674458,1.036132931343977,1.0282937621532873
2021-01-07,1.0518428793362522,1.051527143051661,1.053170190710989
2021-01-08,1.0577593885800085,1.0575183769447671,1.066711829264796
2021-01-11,1.0508467283436838,1.0503901964553313,1.0512980186459007
2021-01-12,1.0509373234111672,1.0506117993267114,1.0496261064040187
2021-01-13,1.0535636921812512,1.053441101103169,1.0567143800309762
2021-01-14,1.0500017665051289,1.049752059749415,1.0510637346052225
2021-01-15,1.042515732257825,1.0420963179566323,1.0427383026263015
2021-01-19,1.0507561332762003,1.050278988160024,1.0579518534219905
2021-01-20,1.0650341330239552,1.0648135507036598,1.0825604987866266
2021-01-21,1.0660300866416492,1.0657843177497668,1.0912206072503714
2021-01-22,1.0622264754314668,1.062012005794405,1.088077882693949
2021-01-25,1.066543458690722,1.0662003091048138,1.0970717225253652
2021-01-26,1.0649434392690345,1.0645360724448818,1.098676846488506
2021-01-27,1.0391047983608415,1.0385183040716892,1.068049275047888
2021-01-28,1.047828373072462,1.0474495959703187,1.0743687483782047
2021-01-29,1.0268494963289265,1.0264802321378241,1.051765956649156
2021-02-01,1.0437230743663137,1.0435664373726428,1.078046724281708
2021-02-02,1.058725538591624,1.0583226932009067,1.0956341993371785
2021-02-03,1.0597818889209736,1.0591549471507449,1.0912877105681633
2021-02-04,1.0716446123271273,1.0711932903243548,1.1041939153567777
2021-02-05,1.075930903793368,1.0754090792622215,1.107938574526005
2021-02-08,1.0838697160032145,1.0831756676973183,1.1153614196247692
2021-02-09,1.0829943584339572,1.0824543508030424,1.1151275556361584
2021-02-10,1.0825718775146798,1.0819830265400867,1.1125862406274565
2021-02-11,1.084322197903445,1.0837301721486339,1.1187050340824993
2021-02-12,1.089846523271189,1.0890838118153128,1.124957719134075
2021-02-16,1.0888199765479178,1.0881404399834156,1.1219150719827473
2021-02-17,1.0890615633945404,1.0883903422014876,1.1165317896979918
2021-02-18,1.0844127929709284,1.0837578386025881,1.1116500495818957
2021-02-19,1.082420984422978,1.0818442422040733,1.106801913631204
2021-02-22,1.0739085021398402,1.0735232397309094,1.078113722586483
2021-02-23,1.0752670334023426,1.0748267275304553,1.0749038947122689
2021-02-24,1.0871600538517614,1.0866705918071502,1.0837641579862032
2021-02-25,1.0610794313471965,1.0604861918174935,1.04598141962687
2021-02-26,1.0552538132332359,1.0550220671614934,1.0503616175743065
2021-03-01,1.0810021551362572,1.080596268138933,1.081958774199856
2021-03-02,1.072640862007133,1.0721638765439656,1.06460537315903
2021-03-03,1.058483853057564,1.0579623059935135,1.0337104385774138
2021-03-04,1.045443788523875,1.0448702868251816,1.016791896439523
2021-03-05,1.064611454729803,1.064092505049129,1.0321054196272899
2021-03-08,1.0593892116077746,1.0587945599433517,1.0028823972875558
2021-03-09,1.0742103870106807,1.0739115646320019,1.0424374403329166
2021-03-10,1.0808512620445552,1.080596268138933,1.039461686473347
2021-03-11,1.0922614048630408,1.0915523647313843,1.0634017139594543
2021-03-12,1.0938009288856356,1.093022393734146,1.054775104648097
2021-03-15,1.1001395242989198,1.0995407368643575,1.066043211386268
2021-03-16,1.0989019838346035,1.0981537976367073,1.071894221648245
2021-03-17,1.1024940091791162,1.1018987143778594,1.0763081287741028
2021-03-18,1.0862845975950663,1.085866185137763,1.0433402372391074
2021-03-19,1.0843525936341474,1.083857202762379,1.047017793090543
2021-03-22,1.0929252752540661,1.0925116492949676,1.0666530219753394
2021-03-23,1.084895867976736,1.083912626083536,1.0619996851709759
2021-03-24,1.0788892571026831,1.0784025714974415,1.044088665010472
2021-03-25,1.0849565607507037,1.0844693004528085,1.0422808659247362
2021-03-26,1.1026558565763631,1.1019455484404357,1.0579152038790973
2021-03-29,1.1019895189994042,1.1013886028314184,1.0576138165206272
2021-03-30,1.0991725847878053,1.098466898715283,1.0522909167205825
2021-03-31,1.1035342734561782,1.1029193895369822,1.068394032782334
