Rank,Ticker,CompositeScore,Momentum,Growth,Value,Volatility,Sentiment,MaxDrawdown
1,TLT,0.4386740431698363,0,0,2.1933702158491815,0,0,
2,EEM,0.07957919105625368,0,0,0.39789595528126837,0,0,
3,IWM,0.04476104614707565,0,0,0.22380523073537822,0,0,
4,EFA,-0.02794058160039143,0,0,-0.13970290800195714,0,0,
5,SPY,-0.10073041247433595,0,0,-0.5036520623716797,0,0,
6,VOO,-0.10397698920979428,0,0,-0.5198849460489714,0,0,
7,QQQ,-0.1269782179783749,0,0,-0.6348910898918746,0,0,
8,GLD,-0.2033880791102688,0,0,-1.0169403955513439,0,0,
